Book Name,Author,Genre,Average Ratings,Total Ratings,Publisher,Stall Number
The Plague Lords of Ruel,Joe Dever,Fantasy,3.82,249,Marigold Press,24
The Bachelor of Arts,R.K. Narayan,Fiction,3.84,2769,Mountain View Publishers,15
An Astrologer's Day and Other Stories,R.K. Narayan,ShortStories,3.98,339,Fernwood Publishers,14
Research Methodology: A Step-By-Step Guide for Beginners,Ranjit Kumar,Reference,3.75,242,Ruby Editions,20
Fundamentals of Anatomy & Physiology,Frederic H. Martini,Science,4.06,428,Goldleaf Publishers,18
The New Mythic Tarot,Juliet Sharman-Burke,Occult,4.42,66,Galaxy Press,48
True Heart,Delilah Devlin,AdultFiction,3.6,250,Eastwood Publications,25
The Birth Of Bebop: A Social And Musical History,Scott DeVeaux,Music,4.26,93,"Global Reads, Coimbatore",44
A Woman's World: True Stories of Life on the Road,Marybeth Bond,Travel,3.94,163,Magnolia Books,29
"Natural Hazards: Earth's Processes as Hazards, Disasters, and Catastrophes",Edward A. Keller,Science,3.43,92,Riverbank Books,48
Jasmine,Bharati Mukherjee,Fiction,3.43,3252,Onyx Publishing,50
The Middleman and Other Stories,Bharati Mukherjee,ShortStories,3.58,570,Diamond Press,9
Wife,Bharati Mukherjee,Fiction,3.46,252,Emerald Literatures,19
The Tree Bride,Bharati Mukherjee,Fiction,3.1,484,Teal Publications,41
Demon High,Lori Devoti,Paranormal,3.55,259,Riverdale Press,19
Bayesian Brain: Probabilistic Approaches to Neural Coding,Kenji Doya,Biology,3.79,14,Topaz Publishing,4
Orangutan Odyssey,BirutAA M.F. Galdikas,Nonfiction,4.32,31,Onyx Publishing,8
"Great Weird Tales: 14 Stories by Lovecraft, Blackwood, Machen and Others",S.T. Joshi,Horror,4,54,Fernwood Publishers,27
Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,Abhijit V. Banerjee,Economics,4.28,16284,Citrine Press,50
A Gift for Kit,Nalini Singh,Fantasy,4.02,3970,Cherry Blossom Books,15
Dagon and Other Macabre Tales,H.P. Lovecraft,Horror,4.2,5102,Eastwood Publications,8
The Scribner Anthology of Contemporary Short Fiction: Fifty North American Stories Since 1970,Lex Williford,ShortStories,4.13,1118,Opal Book House,2
Mr. Sampath--the Printer of Malgudi,R.K. Narayan,Fiction,3.8,1039,Star Light Publishing,4
"Dislocating Cultures: Identities, Traditions, and Third World Feminism",Uma Narayan,Feminism,4.23,139,Jade Books,22
My Sister and I: The Diary of a Dutch Boy Refugee,Dirk van der Heide,War,4.18,11,Citrine Press,1
Astronomical Companion,Guy Ottewell,Science,5,8,Teal Publications,23
Nate the Great and the Snowy Trail,Marjorie Weinman Sharmat,Mystery,4.07,627,Marigold Press,43
Nate the Great and the Sticky Case,Marjorie Weinman Sharmat,Mystery,4,642,Cobalt Blue Books,50
Collected Plays of Mahesh Elkunchwar: Garbo / Desire in the Rocks / Old Stone Mansion / Reflection / Sonata / An Actor Exits,Mahesh Elkunchwar,Literature,4.04,27,Velvet Ink Press,35
Borderlands: The Ultimate Exploration of the Unknown,Mike Dash,Fantasy,3.7,89,Velvet Ink Press,38
Histories of Scientific Observation,Lorraine Daston,Science,3.96,23,Goldleaf Publishers,12
Unbound,Lori Devoti,Fantasy,3.81,408,Sunrise Books,19
Photochemistry and Pericyclic Reactions,Jagdamba Singh,Science,3.91,152,Riverdale Press,37
Kadambari,Banabhatta,Cultural,3.74,81,"Urban Leaf Publications, Coimbatore",33
Lord Krishna's Cuisine: The Art of Indian Vegetarian Cooking,Yamuna Devi,FoodAndDrink,4.23,1179,Emerald Literatures,42
Angels of Darkness,Ilona Andrews,Fantasy,4.03,11063,Greenfield Publishing,39
